order_id,customer_id,customer_email,order_date,product_sku,country,quantity,price,discount_pct,total_amount,notes
100000,C2824,bad@domain,,NP-CP303-NVY,IT,1,206.14,0%,"€206,14",
100001,C4611,3a3zmf8@hotmail.es,2025-10-14,NP-CP982-GRN,DE,5,"€114,00",0%,570.0,gift wrap
100002,C4150,x1945@nudeproject.com,05-11-2025,NP-PN488-GRN,UK,1,"€115,70",10%,"104,13", 
100003,C4598,ibljh@example.com,10/11/2025,NP-PN697-RED,FR,2,124.63,15%,"€211,87",N/A
100004,C4593,sdbdw2@nudeproject.com,2025-12-16,NP-JK887-GRN,ES,1,"€182,71",20,"146,17",
100005,C5808,azz81sdw@example.com,2025-99-10,NP-JK345-BLK,PT,5,166.32,20,"665,28",
100006,C2290,39tex8fs@example.com,24/11/2025,NP-TS446-BLK,DE,3,"228,93",15,"€583,77", 
100007,C4770,cwi64@gmail.com,05/12/2025,NP-PN462-RED,IT,2,"150,67",20%,241.072,
100008,C8651,y9dom@gmail.com,2025/02/30,NP-CP956-BLK,ES,4,"€50,55",30,141.54,NULL
100009,C4872,r56fao72@hotmail.es,,NP-CP973-NVY,PT,5,"€151,03",0%,"€755,15",deliver after 18:00
100010,C1931,4cc5o@example.com,2025-11-01 00:00:00,NP-HD787-GRN,IT,3,"€189,52",20%,454.84800000000007,deliver after 18:00
100011,C6180,awudt@example.com,03/11/2025,NP-CP108-NVY,FR,4,265.35,10%,955.2600000000001,
100012,C2697,,2025/10/27,NP-JK265-RED,DE,4,82.73,0%,"€330,92", 
100013,C8007,c56t4@example.com,10/12/2025,NP-CP995-RED,DE,3,"22,03",30%,"€46,26",
100014,C3532,5935a0@hotmail.es,22/11/2025,NP-HD328-BLK,UK,2,"238,24",30%,"€333,54",
100015,C4164,58kxo9t@gmail.com,,NP-JK145-RED,ES,5,,30%,"73,46", 
100016,C9518,y70hp87wx@gmail.com,2025-11-08 00:00:00,NP-PN661-BLK,FR,4,,5%,487.654,gift wrap
100017,C5700,vlpys280x@hotmail.es,2025-12-05 00:00:00,NP-TS566-RED,UK,2,247.24,25%,"370,86",N/A
100018,C4185,rixa11dp@outlook.com,2025-12-29 00:00:00,NP-PN727-NVY,IT,4,171.55,0%,686.2,
100019,C9976,0rjiw1@example.com,,NP-HD165-RED,IT,1,"€32,37",10,"29,13",NULL
100020,C6421,c3o18a5u@nudeproject.com,2025/10/01,NP-PN597-BLK,IT,5,123.0,30%,,gift wrap
100087,C6507,0479t6vx@gmail.com,2025/02/30,NP-TS581-BLK,UK,4,"€62,60",15%,212.84,
100022,C9837,"bad@domain,com",2025-10-29,NP-CP323-RED,UK,1,198.91,5%,,
100023,C5198,v8z2fl@example.com,2025/10/04,NP-TS915-NVY,ES,2,"273,23",5%,,N/A
100024,C6688,nsm43d8w3z@nudeproject.com,,NP-HD950-BLK,FR,4,,20%,282.30400000000003,
100025,C8385,uymrlrmj@hotmail.es,2025/12/16,NP-TS195-GRN,PT,2,,15%,"€271,52",
100026,C7625,xntm9tm@nudeproject.com,2025/11/04,NP-CP711-GRN,ES,2,"€44,89",20,71.824,N/A
100027,C4180,gatj9tz@outlook.com,32/13/2025,NP-PN175-NVY,UK,3,"€176,38",5,"502,68",deliver after 18:00
100028,C1878,8diuovw1n@nudeproject.com,2025-11-08 00:00:00,NP-HD665-BLK,PT,2,"€98,46",25%,"€147,69", 
100029,C1043,vkizzqy72w@outlook.com,2025-11-24,NP-JK549-BLK,IT,1,197.71,30%,"138,40",N/A
100030,C5982,srcbplj@gmail.com,2025-10-30 00:00:00,NP-JK285-NVY,IT,1,15.92,30%,"€11,14",deliver after 18:00
100031,C9056,mly4lyk8@example.com,not a date,NP-CP470-NVY,IT,1,,15,"€88,10", 
100032,C8242,jek5rb@example.com,31/10/2025,NP-JK621-GRN,IT,4,"€13,87",30,"€38,84",NULL
100033,C8905,qfgv0e@gmail.com,05-11-2025,NP-CP595-GRN,FR,5,"€238,34",25%,"893,78",deliver after 18:00
100034,C9903,59in4ol@nudeproject.com,30-12-2025,NP-PN202-NVY,IT,1,202.37,5%,192.2515,
100035,C1251,58c2jwoc@hotmail.es,2025-12-26 00:00:00,NP-TS544-BLK,UK,5,,30%,"356,06", 
100036,C2646,kblcmpioyg@outlook.com,2025-10-11 00:00:00,NP-JK793-NVY,PT,3,"189,62",5%,"540,42",deliver after 18:00
